nohup: ввод игнорируется
WARN: Unresolved or ambiguous specs during Gem::Specification.reset:
[2025-03-25 02:50:13] Metrics successfully pushed to gateway!
[2025-03-25 02:50:23] Metrics successfully pushed to gateway!
[2025-03-25 02:50:33] Metrics successfully pushed to gateway!
[2025-03-25 02:50:43] Metrics successfully pushed to gateway!
[2025-03-25 02:50:53] Metrics successfully pushed to gateway!
[2025-03-25 02:51:03] Metrics successfully pushed to gateway!
[2025-03-25 02:51:13] Metrics successfully pushed to gateway!
[2025-03-25 02:51:23] Metrics successfully pushed to gateway!
[2025-03-25 02:51:33] Metrics successfully pushed to gateway!
[2025-03-25 02:51:43] Metrics successfully pushed to gateway!
[2025-03-25 02:51:53] Metrics successfully pushed to gateway!
[2025-03-25 02:52:03] Metrics successfully pushed to gateway!
[2025-03-25 02:52:13] Metrics successfully pushed to gateway!
[2025-03-25 02:52:23] Metrics successfully pushed to gateway!
[2025-03-25 02:52:33] Metrics successfully pushed to gateway!
[2025-03-25 02:52:43] Metrics successfully pushed to gateway!
[2025-03-25 02:52:53] Metrics successfully pushed to gateway!
[2025-03-25 02:53:03] Metrics successfully pushed to gateway!
[2025-03-25 02:53:13] Metrics successfully pushed to gateway!
[2025-03-25 02:53:23] Metrics successfully pushed to gateway!
[2025-03-25 02:53:33] Metrics successfully pushed to gateway!
[2025-03-25 02:53:43] Metrics successfully pushed to gateway!
[2025-03-25 02:53:53] Metrics successfully pushed to gateway!
[2025-03-25 02:54:03] Metrics successfully pushed to gateway!
[2025-03-25 02:54:13] Metrics successfully pushed to gateway!
[2025-03-25 02:54:23] Metrics successfully pushed to gateway!
[2025-03-25 02:54:33] Metrics successfully pushed to gateway!
[2025-03-25 02:54:43] Metrics successfully pushed to gateway!
[2025-03-25 02:54:53] Metrics successfully pushed to gateway!
[2025-03-25 02:55:03] Metrics successfully pushed to gateway!
[2025-03-25 02:55:13] Metrics successfully pushed to gateway!
[2025-03-25 02:55:23] Metrics successfully pushed to gateway!
[2025-03-25 02:55:33] Metrics successfully pushed to gateway!
[2025-03-25 02:55:43] Metrics successfully pushed to gateway!
[2025-03-25 02:55:53] Metrics successfully pushed to gateway!
[2025-03-25 02:56:03] Metrics successfully pushed to gateway!
[2025-03-25 02:56:13] Metrics successfully pushed to gateway!
[2025-03-25 02:56:23] Metrics successfully pushed to gateway!
[2025-03-25 02:56:33] Metrics successfully pushed to gateway!
[2025-03-25 02:56:43] Metrics successfully pushed to gateway!
[2025-03-25 02:56:53] Metrics successfully pushed to gateway!
[2025-03-25 02:57:04] Metrics successfully pushed to gateway!
[2025-03-25 02:57:14] Metrics successfully pushed to gateway!
[2025-03-25 02:57:24] Metrics successfully pushed to gateway!
[2025-03-25 02:57:34] Metrics successfully pushed to gateway!
[2025-03-25 02:57:44] Metrics successfully pushed to gateway!
[2025-03-25 02:57:54] Metrics successfully pushed to gateway!
[2025-03-25 02:58:04] Metrics successfully pushed to gateway!
[2025-03-25 02:58:14] Metrics successfully pushed to gateway!
[2025-03-25 02:58:24] Metrics successfully pushed to gateway!
[2025-03-25 02:58:34] Metrics successfully pushed to gateway!
[2025-03-25 02:58:44] Metrics successfully pushed to gateway!
[2025-03-25 02:58:54] Metrics successfully pushed to gateway!
[2025-03-25 02:59:04] Metrics successfully pushed to gateway!
[2025-03-25 02:59:14] Metrics successfully pushed to gateway!
[2025-03-25 02:59:24] Metrics successfully pushed to gateway!
[2025-03-25 02:59:34] Metrics successfully pushed to gateway!
[2025-03-25 02:59:44] Metrics successfully pushed to gateway!
[2025-03-25 02:59:54] Metrics successfully pushed to gateway!
[2025-03-25 03:00:04] Metrics successfully pushed to gateway!
[2025-03-25 03:00:14] Metrics successfully pushed to gateway!
[2025-03-25 03:00:24] Metrics successfully pushed to gateway!
[2025-03-25 03:00:34] Metrics successfully pushed to gateway!
[2025-03-25 03:00:44] Metrics successfully pushed to gateway!
[2025-03-25 03:00:54] Metrics successfully pushed to gateway!
[2025-03-25 03:01:04] Metrics successfully pushed to gateway!
[2025-03-25 03:01:14] Metrics successfully pushed to gateway!
[2025-03-25 03:01:24] Metrics successfully pushed to gateway!
[2025-03-25 03:01:34] Metrics successfully pushed to gateway!
[2025-03-25 03:01:44] Metrics successfully pushed to gateway!
[2025-03-25 03:01:54] Metrics successfully pushed to gateway!
[2025-03-25 03:02:04] Metrics successfully pushed to gateway!
[2025-03-25 03:02:14] Metrics successfully pushed to gateway!
[2025-03-25 03:02:24] Metrics successfully pushed to gateway!
[2025-03-25 03:02:34] Metrics successfully pushed to gateway!
[2025-03-25 03:02:44] Metrics successfully pushed to gateway!
[2025-03-25 03:02:54] Metrics successfully pushed to gateway!
[2025-03-25 03:03:04] Metrics successfully pushed to gateway!
[2025-03-25 03:03:14] Metrics successfully pushed to gateway!
[2025-03-25 03:03:24] Metrics successfully pushed to gateway!
[2025-03-25 03:03:34] Metrics successfully pushed to gateway!
[2025-03-25 03:03:44] Metrics successfully pushed to gateway!
[2025-03-25 03:03:54] Metrics successfully pushed to gateway!
[2025-03-25 03:04:04] Metrics successfully pushed to gateway!
[2025-03-25 03:04:14] Metrics successfully pushed to gateway!
[2025-03-25 03:04:24] Metrics successfully pushed to gateway!
[2025-03-25 03:04:34] Metrics successfully pushed to gateway!
[2025-03-25 03:04:44] Metrics successfully pushed to gateway!
[2025-03-25 03:04:54] Metrics successfully pushed to gateway!
[2025-03-25 03:05:04] Metrics successfully pushed to gateway!
[2025-03-25 03:05:14] Metrics successfully pushed to gateway!
[2025-03-25 03:05:24] Metrics successfully pushed to gateway!
[2025-03-25 03:05:34] Metrics successfully pushed to gateway!
[2025-03-25 03:05:44] Metrics successfully pushed to gateway!
[2025-03-25 03:05:54] Metrics successfully pushed to gateway!
[2025-03-25 03:06:04] Metrics successfully pushed to gateway!
[2025-03-25 03:06:14] Metrics successfully pushed to gateway!
[2025-03-25 03:06:24] Metrics successfully pushed to gateway!
[2025-03-25 03:06:34] Metrics successfully pushed to gateway!
[2025-03-25 03:06:44] Metrics successfully pushed to gateway!
[2025-03-25 03:06:54] Metrics successfully pushed to gateway!
[2025-03-25 03:07:04] Metrics successfully pushed to gateway!
[2025-03-25 03:07:14] Metrics successfully pushed to gateway!
[2025-03-25 03:07:24] Metrics successfully pushed to gateway!
[2025-03-25 03:07:34] Metrics successfully pushed to gateway!
[2025-03-25 03:07:44] Metrics successfully pushed to gateway!
[2025-03-25 03:07:54] Metrics successfully pushed to gateway!
[2025-03-25 03:08:04] Metrics successfully pushed to gateway!
[2025-03-25 03:08:14] Metrics successfully pushed to gateway!
[2025-03-25 03:08:24] Metrics successfully pushed to gateway!
[2025-03-25 03:08:34] Metrics successfully pushed to gateway!
[2025-03-25 03:08:44] Metrics successfully pushed to gateway!
[2025-03-25 03:08:54] Metrics successfully pushed to gateway!
[2025-03-25 03:09:04] Metrics successfully pushed to gateway!
[2025-03-25 03:09:14] Metrics successfully pushed to gateway!
[2025-03-25 03:09:24] Metrics successfully pushed to gateway!
[2025-03-25 03:09:34] Metrics successfully pushed to gateway!
[2025-03-25 03:09:44] Metrics successfully pushed to gateway!
[2025-03-25 03:09:54] Metrics successfully pushed to gateway!
[2025-03-25 03:10:04] Metrics successfully pushed to gateway!
[2025-03-25 03:10:14] Metrics successfully pushed to gateway!
[2025-03-25 03:10:24] Metrics successfully pushed to gateway!
[2025-03-25 03:10:34] Metrics successfully pushed to gateway!
[2025-03-25 03:10:44] Metrics successfully pushed to gateway!
[2025-03-25 03:10:54] Metrics successfully pushed to gateway!
[2025-03-25 03:11:04] Metrics successfully pushed to gateway!
[2025-03-25 03:11:14] Metrics successfully pushed to gateway!
[2025-03-25 03:11:24] Metrics successfully pushed to gateway!
[2025-03-25 03:11:34] Metrics successfully pushed to gateway!
[2025-03-25 03:11:44] Metrics successfully pushed to gateway!
[2025-03-25 03:11:54] Metrics successfully pushed to gateway!
[2025-03-25 03:12:05] Metrics successfully pushed to gateway!
[2025-03-25 03:12:15] Metrics successfully pushed to gateway!
[2025-03-25 03:12:25] Metrics successfully pushed to gateway!
[2025-03-25 03:12:35] Metrics successfully pushed to gateway!
[2025-03-25 03:12:45] Metrics successfully pushed to gateway!
[2025-03-25 03:12:55] Metrics successfully pushed to gateway!
[2025-03-25 03:13:05] Metrics successfully pushed to gateway!
[2025-03-25 03:13:15] Metrics successfully pushed to gateway!
[2025-03-25 03:13:25] Metrics successfully pushed to gateway!
[2025-03-25 03:13:35] Metrics successfully pushed to gateway!
[2025-03-25 03:13:45] Metrics successfully pushed to gateway!
[2025-03-25 03:13:55] Metrics successfully pushed to gateway!
[2025-03-25 03:14:05] Metrics successfully pushed to gateway!
[2025-03-25 03:14:15] Metrics successfully pushed to gateway!
[2025-03-25 03:14:25] Metrics successfully pushed to gateway!
[2025-03-25 03:14:35] Metrics successfully pushed to gateway!
[2025-03-25 03:14:45] Metrics successfully pushed to gateway!
[2025-03-25 03:14:55] Metrics successfully pushed to gateway!
[2025-03-25 03:15:05] Metrics successfully pushed to gateway!
[2025-03-25 03:15:15] Metrics successfully pushed to gateway!
[2025-03-25 03:15:25] Metrics successfully pushed to gateway!
[2025-03-25 03:15:35] Metrics successfully pushed to gateway!
[2025-03-25 03:15:45] Metrics successfully pushed to gateway!
[2025-03-25 03:15:55] Metrics successfully pushed to gateway!
[2025-03-25 03:16:05] Metrics successfully pushed to gateway!
[2025-03-25 03:16:15] Metrics successfully pushed to gateway!
[2025-03-25 03:16:25] Metrics successfully pushed to gateway!
[2025-03-25 03:16:35] Metrics successfully pushed to gateway!
[2025-03-25 03:16:45] Metrics successfully pushed to gateway!
[2025-03-25 03:16:55] Metrics successfully pushed to gateway!
[2025-03-25 03:17:05] Metrics successfully pushed to gateway!
[2025-03-25 03:17:15] Metrics successfully pushed to gateway!
[2025-03-25 03:17:25] Metrics successfully pushed to gateway!
[2025-03-25 03:17:35] Metrics successfully pushed to gateway!
[2025-03-25 03:17:45] Metrics successfully pushed to gateway!
[2025-03-25 03:17:55] Metrics successfully pushed to gateway!
[2025-03-25 03:18:05] Metrics successfully pushed to gateway!
[2025-03-25 03:18:15] Metrics successfully pushed to gateway!
[2025-03-25 03:18:25] Metrics successfully pushed to gateway!
[2025-03-25 03:18:35] Metrics successfully pushed to gateway!
[2025-03-25 03:18:45] Metrics successfully pushed to gateway!
[2025-03-25 03:18:55] Metrics successfully pushed to gateway!
[2025-03-25 03:19:05] Metrics successfully pushed to gateway!
[2025-03-25 03:19:15] Metrics successfully pushed to gateway!
[2025-03-25 03:19:25] Metrics successfully pushed to gateway!
[2025-03-25 03:19:35] Metrics successfully pushed to gateway!
[2025-03-25 03:19:45] Metrics successfully pushed to gateway!
[2025-03-25 03:19:55] Metrics successfully pushed to gateway!
[2025-03-25 03:20:05] Metrics successfully pushed to gateway!
[2025-03-25 03:20:15] Metrics successfully pushed to gateway!
[2025-03-25 03:20:25] Metrics successfully pushed to gateway!
[2025-03-25 03:20:35] Metrics successfully pushed to gateway!
[2025-03-25 03:20:45] Metrics successfully pushed to gateway!
[2025-03-25 03:20:55] Metrics successfully pushed to gateway!
[2025-03-25 03:21:05] Metrics successfully pushed to gateway!
[2025-03-25 03:21:15] Metrics successfully pushed to gateway!
[2025-03-25 03:21:25] Metrics successfully pushed to gateway!
[2025-03-25 03:21:35] Metrics successfully pushed to gateway!
[2025-03-25 03:21:45] Metrics successfully pushed to gateway!
[2025-03-25 03:21:55] Metrics successfully pushed to gateway!
[2025-03-25 03:22:05] Metrics successfully pushed to gateway!
[2025-03-25 03:22:15] Metrics successfully pushed to gateway!
[2025-03-25 03:22:25] Metrics successfully pushed to gateway!
[2025-03-25 03:22:35] Metrics successfully pushed to gateway!
[2025-03-25 03:22:45] Metrics successfully pushed to gateway!
[2025-03-25 03:22:55] Metrics successfully pushed to gateway!
[2025-03-25 03:23:05] Metrics successfully pushed to gateway!
[2025-03-25 03:23:15] Metrics successfully pushed to gateway!
[2025-03-25 03:23:25] Metrics successfully pushed to gateway!
[2025-03-25 03:23:35] Metrics successfully pushed to gateway!
[2025-03-25 03:23:45] Metrics successfully pushed to gateway!
[2025-03-25 03:23:55] Metrics successfully pushed to gateway!
[2025-03-25 03:24:05] Metrics successfully pushed to gateway!
[2025-03-25 03:24:15] Metrics successfully pushed to gateway!
[2025-03-25 03:24:25] Metrics successfully pushed to gateway!
[2025-03-25 03:24:35] Metrics successfully pushed to gateway!
[2025-03-25 03:24:45] Metrics successfully pushed to gateway!
[2025-03-25 03:24:55] Metrics successfully pushed to gateway!
[2025-03-25 03:25:05] Metrics successfully pushed to gateway!
[2025-03-25 03:25:15] Metrics successfully pushed to gateway!
[2025-03-25 03:25:25] Metrics successfully pushed to gateway!
[2025-03-25 03:25:35] Metrics successfully pushed to gateway!
[2025-03-25 03:25:45] Metrics successfully pushed to gateway!
[2025-03-25 03:25:55] Metrics successfully pushed to gateway!
[2025-03-25 03:26:05] Metrics successfully pushed to gateway!
[2025-03-25 03:26:15] Metrics successfully pushed to gateway!
[2025-03-25 03:26:26] Metrics successfully pushed to gateway!
[2025-03-25 03:26:36] Metrics successfully pushed to gateway!
[2025-03-25 03:26:46] Metrics successfully pushed to gateway!
[2025-03-25 03:26:56] Metrics successfully pushed to gateway!
[2025-03-25 03:27:06] Metrics successfully pushed to gateway!
[2025-03-25 03:27:16] Metrics successfully pushed to gateway!
[2025-03-25 03:27:26] Metrics successfully pushed to gateway!
[2025-03-25 03:27:36] Metrics successfully pushed to gateway!
[2025-03-25 03:27:46] Metrics successfully pushed to gateway!
[2025-03-25 03:27:56] Metrics successfully pushed to gateway!
[2025-03-25 03:28:06] Metrics successfully pushed to gateway!
[2025-03-25 03:28:16] Metrics successfully pushed to gateway!
[2025-03-25 03:28:26] Metrics successfully pushed to gateway!
[2025-03-25 03:28:36] Metrics successfully pushed to gateway!
[2025-03-25 03:28:46] Metrics successfully pushed to gateway!
[2025-03-25 03:28:56] Metrics successfully pushed to gateway!
[2025-03-25 03:29:06] Metrics successfully pushed to gateway!
[2025-03-25 03:29:16] Metrics successfully pushed to gateway!
[2025-03-25 03:29:26] Metrics successfully pushed to gateway!
[2025-03-25 03:29:36] Metrics successfully pushed to gateway!
[2025-03-25 03:29:46] Metrics successfully pushed to gateway!
[2025-03-25 03:29:56] Metrics successfully pushed to gateway!
[2025-03-25 03:30:06] Metrics successfully pushed to gateway!
[2025-03-25 03:30:16] Metrics successfully pushed to gateway!
[2025-03-25 03:30:26] Metrics successfully pushed to gateway!
[2025-03-25 03:30:36] Metrics successfully pushed to gateway!
[2025-03-25 03:30:46] Metrics successfully pushed to gateway!
[2025-03-25 03:30:56] Metrics successfully pushed to gateway!
[2025-03-25 03:31:06] Metrics successfully pushed to gateway!
[2025-03-25 03:31:16] Metrics successfully pushed to gateway!
[2025-03-25 03:31:26] Metrics successfully pushed to gateway!
[2025-03-25 03:31:36] Metrics successfully pushed to gateway!
[2025-03-25 03:31:46] Metrics successfully pushed to gateway!
[2025-03-25 03:31:56] Metrics successfully pushed to gateway!
[2025-03-25 03:32:06] Metrics successfully pushed to gateway!
[2025-03-25 03:32:16] Metrics successfully pushed to gateway!
[2025-03-25 03:32:26] Metrics successfully pushed to gateway!
[2025-03-25 03:32:36] Metrics successfully pushed to gateway!
[2025-03-25 03:32:46] Metrics successfully pushed to gateway!
[2025-03-25 03:32:56] Metrics successfully pushed to gateway!
[2025-03-25 03:33:06] Metrics successfully pushed to gateway!
[2025-03-25 03:33:16] Metrics successfully pushed to gateway!
[2025-03-25 03:33:26] Metrics successfully pushed to gateway!
[2025-03-25 03:33:36] Metrics successfully pushed to gateway!
[2025-03-25 03:33:46] Metrics successfully pushed to gateway!
[2025-03-25 03:33:56] Metrics successfully pushed to gateway!
[2025-03-25 03:34:06] Metrics successfully pushed to gateway!
[2025-03-25 03:34:16] Metrics successfully pushed to gateway!
[2025-03-25 03:34:26] Metrics successfully pushed to gateway!
[2025-03-25 03:34:36] Metrics successfully pushed to gateway!
[2025-03-25 03:34:46] Metrics successfully pushed to gateway!
[2025-03-25 03:34:56] Metrics successfully pushed to gateway!
[2025-03-25 03:35:06] Metrics successfully pushed to gateway!
[2025-03-25 03:35:16] Metrics successfully pushed to gateway!
[2025-03-25 03:35:26] Metrics successfully pushed to gateway!
[2025-03-25 03:35:36] Metrics successfully pushed to gateway!
[2025-03-25 03:35:46] Metrics successfully pushed to gateway!
[2025-03-25 03:35:56] Metrics successfully pushed to gateway!
[2025-03-25 03:36:06] Metrics successfully pushed to gateway!
[2025-03-25 03:36:16] Metrics successfully pushed to gateway!
[2025-03-25 03:36:26] Metrics successfully pushed to gateway!
[2025-03-25 03:36:36] Metrics successfully pushed to gateway!
[2025-03-25 03:36:46] Metrics successfully pushed to gateway!
[2025-03-25 03:36:56] Metrics successfully pushed to gateway!
[2025-03-25 03:37:06] Metrics successfully pushed to gateway!
[2025-03-25 03:37:16] Metrics successfully pushed to gateway!
[2025-03-25 03:37:26] Metrics successfully pushed to gateway!
[2025-03-25 03:37:36] Metrics successfully pushed to gateway!
[2025-03-25 03:37:46] Metrics successfully pushed to gateway!
[2025-03-25 03:37:56] Metrics successfully pushed to gateway!
[2025-03-25 03:38:06] Metrics successfully pushed to gateway!
[2025-03-25 03:38:16] Metrics successfully pushed to gateway!
[2025-03-25 03:38:26] Metrics successfully pushed to gateway!
[2025-03-25 03:38:36] Metrics successfully pushed to gateway!
[2025-03-25 03:38:46] Metrics successfully pushed to gateway!
[2025-03-25 03:38:56] Metrics successfully pushed to gateway!
[2025-03-25 03:39:06] Metrics successfully pushed to gateway!
[2025-03-25 03:39:16] Metrics successfully pushed to gateway!
[2025-03-25 03:39:26] Metrics successfully pushed to gateway!
[2025-03-25 03:39:36] Metrics successfully pushed to gateway!
[2025-03-25 03:39:46] Metrics successfully pushed to gateway!
[2025-03-25 03:39:56] Metrics successfully pushed to gateway!
[2025-03-25 03:40:06] Metrics successfully pushed to gateway!
[2025-03-25 03:40:16] Metrics successfully pushed to gateway!
[2025-03-25 03:40:26] Metrics successfully pushed to gateway!
[2025-03-25 03:40:36] Metrics successfully pushed to gateway!
[2025-03-25 03:40:46] Metrics successfully pushed to gateway!
[2025-03-25 03:40:56] Metrics successfully pushed to gateway!
[2025-03-25 03:41:06] Metrics successfully pushed to gateway!
[2025-03-25 03:41:16] Metrics successfully pushed to gateway!
[2025-03-25 03:41:26] Metrics successfully pushed to gateway!
[2025-03-25 03:41:36] Metrics successfully pushed to gateway!
[2025-03-25 03:41:46] Metrics successfully pushed to gateway!
[2025-03-25 03:41:57] Metrics successfully pushed to gateway!
[2025-03-25 03:42:07] Metrics successfully pushed to gateway!
[2025-03-25 03:42:17] Metrics successfully pushed to gateway!
[2025-03-25 03:42:27] Metrics successfully pushed to gateway!
[2025-03-25 03:42:37] Metrics successfully pushed to gateway!
[2025-03-25 03:42:47] Metrics successfully pushed to gateway!
[2025-03-25 03:42:57] Metrics successfully pushed to gateway!
[2025-03-25 03:43:07] Metrics successfully pushed to gateway!
[2025-03-25 03:43:17] Metrics successfully pushed to gateway!
[2025-03-25 03:43:27] Metrics successfully pushed to gateway!
[2025-03-25 03:43:37] Metrics successfully pushed to gateway!
[2025-03-25 03:43:47] Metrics successfully pushed to gateway!
[2025-03-25 03:43:57] Metrics successfully pushed to gateway!
[2025-03-25 03:44:07] Metrics successfully pushed to gateway!
[2025-03-25 03:44:17] Metrics successfully pushed to gateway!
[2025-03-25 03:44:27] Metrics successfully pushed to gateway!
[2025-03-25 03:44:37] Metrics successfully pushed to gateway!
[2025-03-25 03:44:47] Metrics successfully pushed to gateway!
[2025-03-25 03:44:57] Metrics successfully pushed to gateway!
[2025-03-25 03:45:07] Metrics successfully pushed to gateway!
[2025-03-25 03:45:17] Metrics successfully pushed to gateway!
[2025-03-25 03:45:27] Metrics successfully pushed to gateway!
[2025-03-25 03:45:37] Metrics successfully pushed to gateway!
[2025-03-25 03:45:47] Metrics successfully pushed to gateway!
[2025-03-25 03:45:57] Metrics successfully pushed to gateway!
[2025-03-25 03:46:07] Metrics successfully pushed to gateway!
[2025-03-25 03:46:17] Metrics successfully pushed to gateway!
[2025-03-25 03:46:27] Metrics successfully pushed to gateway!
[2025-03-25 03:46:37] Metrics successfully pushed to gateway!
[2025-03-25 03:46:47] Metrics successfully pushed to gateway!
[2025-03-25 03:46:57] Metrics successfully pushed to gateway!
[2025-03-25 03:47:07] Metrics successfully pushed to gateway!
[2025-03-25 03:47:17] Metrics successfully pushed to gateway!
[2025-03-25 03:47:27] Metrics successfully pushed to gateway!
[2025-03-25 03:47:37] Metrics successfully pushed to gateway!
[2025-03-25 03:47:47] Metrics successfully pushed to gateway!
[2025-03-25 03:47:57] Metrics successfully pushed to gateway!
[2025-03-25 03:48:07] Metrics successfully pushed to gateway!
[2025-03-25 03:48:17] Metrics successfully pushed to gateway!
[2025-03-25 03:48:27] Metrics successfully pushed to gateway!
[2025-03-25 03:48:37] Metrics successfully pushed to gateway!
[2025-03-25 03:48:47] Metrics successfully pushed to gateway!
[2025-03-25 03:48:57] Metrics successfully pushed to gateway!
[2025-03-25 03:49:07] Metrics successfully pushed to gateway!/home/honfred/.rbenv/versions/3.1.4/lib/ruby/3.1.0/socket.rb:452:in `__read_nonblock': Connection reset by peer (Errno::ECONNRESET)
	from /home/honfred/.rbenv/versions/3.1.4/lib/ruby/3.1.0/socket.rb:452:in `read_nonblock'
	from /home/honfred/.rbenv/versions/3.1.4/lib/ruby/gems/3.1.0/gems/net-protocol-0.2.2/lib/net/protocol.rb:218:in `rbuf_fill'
	from /home/honfred/.rbenv/versions/3.1.4/lib/ruby/gems/3.1.0/gems/net-protocol-0.2.2/lib/net/protocol.rb:199:in `readuntil'
	from /home/honfred/.rbenv/versions/3.1.4/lib/ruby/gems/3.1.0/gems/net-protocol-0.2.2/lib/net/protocol.rb:209:in `readline'
	from /home/honfred/.rbenv/versions/3.1.4/lib/ruby/gems/3.1.0/gems/net-http-0.4.1/lib/net/http/response.rb:158:in `read_status_line'
	from /home/honfred/.rbenv/versions/3.1.4/lib/ruby/gems/3.1.0/gems/net-http-0.4.1/lib/net/http/response.rb:147:in `read_new'
	from /home/honfred/.rbenv/versions/3.1.4/lib/ruby/gems/3.1.0/gems/net-http-0.4.1/lib/net/http.rb:2342:in `block in transport_request'
	from /home/honfred/.rbenv/versions/3.1.4/lib/ruby/gems/3.1.0/gems/net-http-0.4.1/lib/net/http.rb:2333:in `catch'
	from /home/honfred/.rbenv/versions/3.1.4/lib/ruby/gems/3.1.0/gems/net-http-0.4.1/lib/net/http.rb:2333:in `transport_request'
	from /home/honfred/.rbenv/versions/3.1.4/lib/ruby/gems/3.1.0/gems/net-http-0.4.1/lib/net/http.rb:2306:in `request'
	from ./scripts/dynamic_metrics.rb:144:in `block in push_to_gateway'
	from /home/honfred/.rbenv/versions/3.1.4/lib/ruby/gems/3.1.0/gems/net-http-0.4.1/lib/net/http.rb:1570:in `start'
	from /home/honfred/.rbenv/versions/3.1.4/lib/ruby/gems/3.1.0/gems/net-http-0.4.1/lib/net/http.rb:1029:in `start'
	from ./scripts/dynamic_metrics.rb:143:in `push_to_gateway'
	from ./scripts/dynamic_metrics.rb:159:in `block in <main>'
	from ./scripts/dynamic_metrics.rb:158:in `loop'
	from ./scripts/dynamic_metrics.rb:158:in `<main>'

[2025-03-25 03:49:17] Metrics successfully pushed to gateway!
[2025-03-25 03:49:27] Metrics successfully pushed to gateway!
[2025-03-25 03:49:37] Metrics successfully pushed to gateway!
[2025-03-25 03:49:47] Metrics successfully pushed to gateway!
[2025-03-25 03:49:57] Metrics successfully pushed to gateway!
[2025-03-25 03:50:07] Metrics successfully pushed to gateway!
[2025-03-25 03:50:17] Metrics successfully pushed to gateway!
[2025-03-25 03:50:27] Metrics successfully pushed to gateway!
[2025-03-25 03:50:37] Metrics successfully pushed to gateway!
[2025-03-25 03:50:47] Metrics successfully pushed to gateway!
[2025-03-25 03:50:57] Metrics successfully pushed to gateway!
[2025-03-25 03:51:07] Metrics successfully pushed to gateway!
[2025-03-25 03:51:17] Metrics successfully pushed to gateway!
[2025-03-25 03:51:27] Metrics successfully pushed to gateway!
[2025-03-25 03:51:37] Metrics successfully pushed to gateway!
[2025-03-25 03:51:47] Metrics successfully pushed to gateway!
